player_name,team_abbr,opp_abbr,salary,position,roster_position,game_key,dk_id,name_plus_id,slate_date,slate_key,reason,source_name
Jacob Ognacevic,WASH,USC,3000,F,F/UTIL,USC@UW,42168908,Jacob Ognacevic (42168908),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Noam Dovrat,MIA-FL,SMU,3300,G,G/UTIL,MIA@SMU,42168838,Noam Dovrat (42168838),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Salih Altuntas,MIA-FL,SMU,3000,F,F/UTIL,MIA@SMU,42169049,Salih Altuntas (42169049),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Malachi Palmer,VILL,DEPAUL,3600,G,G/UTIL,VU@DPU,42168798,Malachi Palmer (42168798),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Theo Pierre-Justin,DEPAUL,VILL,4400,F,F/UTIL,VU@DPU,42168721,Theo Pierre-Justin (42168721),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Alier Maluk,FLAST,PITT,3000,F,F/UTIL,FSU@PITT,42169031,Alier Maluk (42169031),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
James Nnaji,BAYLOR,HOU,3200,F,F/UTIL,BAY@UH,42168869,James Nnaji (42168869),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Sam Walters,SMU,MIA-FL,3000,F,F/UTIL,MIA@SMU,42169035,Sam Walters (42169035),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Kaleb Banks,DEPAUL,VILL,3400,F,F/UTIL,VU@DPU,42168822,Kaleb Banks (42168822),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jasai Miles,IND,MINN,3200,G,G/UTIL,MINN@IU,42168858,Jasai Miles (42168858),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Chris Jeffrey,VILL,DEPAUL,3200,G,G/UTIL,VU@DPU,42168854,Chris Jeffrey (42168854),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Guillermo Del Pino,MD,WISC,3500,G,G/UTIL,UMD@WISC,42168818,Guillermo Del Pino (42168818),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Nikola Dzepina,WASH,USC,3500,F,F/UTIL,USC@UW,42168812,Nikola Dzepina (42168812),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Courtland Muldrew,WASH,USC,4100,G,G/UTIL,USC@UW,42168755,Courtland Muldrew (42168755),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Ilija Milijasevic,DEPAUL,VILL,3000,G,G/UTIL,VU@DPU,42168887,Ilija Milijasevic (42168887),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Mercy Miller,HOU,BAYLOR,3900,G,G/UTIL,BAY@UH,42168767,Mercy Miller (42168767),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Mitchell Holmes,SMU,MIA-FL,3000,F,F/UTIL,MIA@SMU,42169041,Mitchell Holmes (42169041),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Khaman Maker,DEPAUL,VILL,3000,F,F/UTIL,VU@DPU,42168924,Khaman Maker (42168924),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Kruz McClure,DEPAUL,VILL,3700,G,G/UTIL,VU@DPU,42168786,Kruz McClure (42168786),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Isaiah Watts,MD,WISC,3200,G,G/UTIL,UMD@WISC,42168860,Isaiah Watts (42168860),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Chase McCarty,HOU,BAYLOR,3800,F,F/UTIL,BAY@UH,42168779,Chase McCarty (42168779),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Aleks Alston,MD,WISC,3000,F,F/UTIL,UMD@WISC,42169043,Aleks Alston (42169043),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Nate Kasher,DEPAUL,VILL,3000,G,G/UTIL,VU@DPU,42169091,Nate Kasher (42169091),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Drew Perry,BAYLOR,HOU,3000,G,G/UTIL,BAY@UH,42169119,Drew Perry (42169119),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jack Robison,WISC,MD,3000,F,F/UTIL,UMD@WISC,42169025,Jack Robison (42169025),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jacob McFarland,HOU,BAYLOR,3000,F,F/UTIL,BAY@UH,42168960,Jacob McFarland (42168960),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Nigel Walls,SMU,MIA-FL,3000,F,F/UTIL,MIA@SMU,42169011,Nigel Walls (42169011),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jordyn Kee,MIA-FL,SMU,3000,G,G/UTIL,MIA@SMU,42169133,Jordyn Kee (42169133),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Aaron Fine,PURDUE,NW,3000,G,G/UTIL,PUR@NW,42169147,Aaron Fine (42169147),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jalen Crawford,FLAST,PITT,3000,G,G/UTIL,FSU@PITT,42169089,Jalen Crawford (42169089),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Malcolm Flaggs,VILL,DEPAUL,3000,G,G/UTIL,VU@DPU,42169053,Malcolm Flaggs (42169053),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Chance Puryear,SMU,MIA-FL,3000,F,F/UTIL,MIA@SMU,42169013,Chance Puryear (42169013),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Drew Snively,IND,MINN,3000,G,G/UTIL,MINN@IU,42169125,Drew Snively (42169125),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Isaac Gard,WISC,MD,3000,G,G/UTIL,UMD@WISC,42169151,Isaac Gard (42169151),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Hayden Jones,WISC,MD,3000,G,G/UTIL,UMD@WISC,42169157,Hayden Jones (42169157),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Zion Stanford,VILL,DEPAUL,3000,G,G/UTIL,VU@DPU,42169121,Zion Stanford (42169121),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Collin Metcalf,MD,WISC,4200,F,F/UTIL,UMD@WISC,42168737,Collin Metcalf (42168737),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
BJ Roy,WASH,USC,3000,G,G/UTIL,USC@UW,42169107,BJ Roy (42169107),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Aleksa Ristic,IND,MINN,3000,G,G/UTIL,MINN@IU,42169137,Aleksa Ristic (42169137),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Ian Stephens,IND,MINN,3000,G,G/UTIL,MINN@IU,42169141,Ian Stephens (42169141),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Trent Sisley,IND,MINN,3000,F,F/UTIL,MINN@IU,42169047,Trent Sisley (42169047),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Riccardo Greppi,WISC,MD,3000,F,F/UTIL,UMD@WISC,42169019,Riccardo Greppi (42169019),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jack Lusk,PURDUE,NW,3000,G,G/UTIL,PUR@NW,42169149,Jack Lusk (42169149),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
