Pos,Team,Player,Salary,projOwn%,actualOwn%,Diff,Proj,Scored,dk_id,dk_player_name,dk_name_plus_id,dk_team_abbr,dk_salary,dk_slate_date,dk_game_key,salary_diff,candidate_count,best_tie_count,match_method,match_status
F,,Thomas Bassong,"$4,800",1.35%,2.06%,0.70%,17.13,22.0,42168690,Thomas Bassong,Thomas Bassong (42168690),FSU,4800,2026-03-04,FSU@PITT,0.0,1,1,exact_name,matched
F,,Nic Codie,"$3,800",0.35%,0%,0%,9.37,21.75,42168777,Nic Codie,Nic Codie (42168777),TEX,3800,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
G,,Meleek Thomas,"$7,000",4.65%,0%,0%,29.62,21.5,42168583,Meleek Thomas,Meleek Thomas (42168583),ARK,7000,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
G,,Andrew Rohde,"$4,800",1.30%,0.34%,-1%,17.16,21.5,42168688,Andrew Rohde,Andrew Rohde (42168688),WISC,4800,2026-03-04,UMD@WISC,0.0,3,1,exact_name,matched
F,,Bobby Durkin,"$7,300",2.10%,0%,0%,24.51,21.0,42168571,Bobby Durkin,Bobby Durkin (42168571),MINN,7300,2026-03-04,MINN@IU,0.0,2,1,exact_name,matched
F,,Elijah Saunders,"$6,300",3.95%,0%,0%,20.09,20.5,42168614,Elijah Saunders,Elijah Saunders (42168614),UMD,6300,2026-03-04,UMD@WISC,0.0,4,1,exact_name,matched
F,,NJ Benson,"$7,600",30.30%,0%,0%,34.83,20.25,42168555,NJ Benson,NJ Benson (42168555),DPU,7600,2026-03-04,VU@DPU,0.0,1,1,exact_name,matched
G,,Bryce Lindsay,"$4,400",3.75%,5.71%,2%,17.49,20.25,42168725,Bryce Lindsay,Bryce Lindsay (42168725),VU,4400,2026-03-04,VU@DPU,0.0,3,1,exact_name,matched
G,,Isaac Asuma,"$6,400",3.80%,0%,0%,27.86,20.0,42168608,Isaac Asuma,Isaac Asuma (42168608),MINN,6400,2026-03-04,MINN@IU,0.0,2,1,exact_name,matched
F,,Royce Parham,"$7,700",1.40%,0%,0%,32.9,20.0,42168551,Royce Parham,Royce Parham (42168551),MARQ,7700,2026-03-04,MARQ@PROV,0.0,2,1,exact_name,matched
G,,Isaac Williams IV,"$5,600",7.45%,0%,0%,24.44,19.75,42168642,Isaac Williams IV,Isaac Williams IV (42168642),BAY,5600,2026-03-04,BAY@UH,0.0,3,1,exact_name,matched
G,,Malachi Palmer,"$3,600",0.55%,0%,0%,10.48,19.75,42168798,Malachi Palmer,Malachi Palmer (42168798),VU,3600,2026-03-04,VU@DPU,0.0,3,1,exact_name,matched
G,,Andre Mills,"$7,700",7.10%,0%,0%,29.94,19.25,42168553,Andre Mills,Andre Mills (42168553),UMD,7700,2026-03-04,UMD@WISC,0.0,4,1,exact_name,matched
G,,Jordan Clayton,"$3,300",0.74%,0%,0%,9.61,19.25,42168842,Jordan Clayton,Jordan Clayton (42168842),NW,3300,2026-03-04,PUR@NW,0.0,1,1,exact_name,matched
F,,Brady Koehler,"$4,200",4.20%,1.49%,-2.70%,15.69,18.5,42168747,Brady Koehler,Brady Koehler (42168747),ND,4200,2026-03-04,STAN@ND,0.0,1,1,exact_name,matched
F,,Nolan Winter,"$7,800",5.75%,0%,0%,30.53,18.0,42168545,Nolan Winter,Nolan Winter (42168545),WISC,7800,2026-03-04,UMD@WISC,0.0,3,1,exact_name,matched
F,,Jermaine O'Neal Jr.,"$3,700",1%,5.71%,4.70%,9.89,18.0,42168790,Jermaine O'Neal Jr.,Jermaine O'Neal Jr. (42168790),SMU,3700,2026-03-04,MIA@SMU,0.0,4,1,exact_name,matched
F,,Jaden Toombs,"$4,300",5.35%,16%,10.70%,20.12,17.75,42168731,Jaden Toombs,Jaden Toombs (42168731),SMU,4300,2026-03-04,MIA@SMU,0.0,4,1,exact_name,matched
